제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
비엠더블유코리아(주),MINI Cooper SE,2023-04-11,2023-04-11,2025-01-02,고전압 배터리 하우징의 밀봉(Sealing)이 불충분하게 되었을 가능성을 확인하였습니다.
비엠더블유코리아(주),BMW X5 M Competition,2023-03-22,2023-06-17,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 xDrive30d,2023-04-11,2023-11-30,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive30d M Sport,2023-03-01,2023-06-26,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 525i Sedan,2024-04-17,2024-04-17,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 520i Sedan,2023-07-12,2023-07-12,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),MINI Cooper C 3Dr,2024-05-29,2024-05-29,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 sDrive40i,2023-05-12,2023-05-12,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW XM,2023-02-21,2023-04-24,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 740i,2022-09-21,2023-03-15,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 740d xDrive,2022-11-11,2023-05-16,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X7 xDrive40i,2022-08-03,2024-04-12,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X7 xDrive40d,2022-07-27,2023-07-17,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 xDrive40i,2023-04-15,2024-04-18,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 xDrive40d,2023-12-18,2023-12-18,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 520i,2023-08-31,2023-10-18,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X7 xDrive40d,2023-05-05,2023-05-05,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 xDrive40d,2024-02-01,2024-02-01,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 740i,2023-10-30,2023-10-30,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X7 xDrive40i,2022-08-04,2023-04-19,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 xDrive40i,2024-01-08,2024-01-08,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 740i xDrive,2023-08-04,2023-09-21,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X7 M60i xDrive,2022-08-31,2023-05-27,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 M60i xDrive,2023-04-12,2023-06-07,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X6 xDrive40i M Sport,2023-05-05,2023-05-31,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW 750e xDrive,2023-04-27,2023-10-12,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW i7 eDrive50,2023-08-22,2023-08-22,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X5 xDrive50e,2023-05-13,2023-05-16,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW X6 M60i xDrive,2023-05-02,2023-07-25,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW i5 M60 xDrive,2023-09-26,2023-09-26,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
비엠더블유코리아(주),BMW M760e xDrive,2024-01-25,2024-01-25,2025-01-02,통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 가능성이 확인되었습니다.
